GROUP,ATTRIBUTE,ACCOUNT,SUM
_MANAGED_,feature.Seral.2903007.regenerating,feature.Seral.2903007.regenerating,1
_MANAGED_,feature.Seral.2903007.young,feature.Seral.2903007.young,1
_MANAGED_,feature.Seral.2903008.immature,feature.Seral.2903008.immature,1
_MANAGED_,feature.Seral.2903008.mature,feature.Seral.2903008.mature,1
_MANAGED_,feature.Seral.2903008.overmature,feature.Seral.2903008.overmature,1
_MANAGED_,feature.Seral.2903008.regenerating,feature.Seral.2903008.regenerating,1
_MANAGED_,feature.Seral.2903008.young,feature.Seral.2903008.young,1
_MANAGED_,feature.Seral.2903009.immature,feature.Seral.2903009.immature,1
_MANAGED_,feature.Seral.2903009.mature,feature.Seral.2903009.mature,1
_MANAGED_,feature.Seral.2903009.overmature,feature.Seral.2903009.overmature,1
_MANAGED_,feature.Seral.2903009.regenerating,feature.Seral.2903009.regenerating,1
_MANAGED_,feature.Seral.2903009.young,feature.Seral.2903009.young,1
_MANAGED_,feature.Seral.immature,feature.Seral.immature,1
_MANAGED_,feature.Seral.mature,feature.Seral.mature,1
_MANAGED_,feature.Seral.overmature,feature.Seral.overmature,1
_MANAGED_,feature.Seral.regenerating,feature.Seral.regenerating,1
_MANAGED_,feature.Seral.young,feature.Seral.young,1
_MANAGED_,feature.SpeciesProp.managed.AT,feature.SpeciesProp.managed.AT,1
_MANAGED_,feature.SpeciesProp.managed.B,feature.SpeciesProp.managed.B,1
_MANAGED_,feature.SpeciesProp.managed.BL,feature.SpeciesProp.managed.BL,1
_MANAGED_,feature.SpeciesProp.managed.FD,feature.SpeciesProp.managed.FD,1
_MANAGED_,feature.SpeciesProp.managed.FDI,feature.SpeciesProp.managed.FDI,1
_MANAGED_,feature.SpeciesProp.managed.PL,feature.SpeciesProp.managed.PL,1
_MANAGED_,feature.SpeciesProp.managed.PLI,feature.SpeciesProp.managed.PLI,1
_MANAGED_,feature.SpeciesProp.managed.S,feature.SpeciesProp.managed.S,1
_MANAGED_,feature.SpeciesProp.managed.SE,feature.SpeciesProp.managed.SE,1
_MANAGED_,feature.SpeciesProp.managed.SX,feature.SpeciesProp.managed.SX,1
_MANAGED_,feature.Yield.managed.AT,feature.Yield.managed.AT,1
_MANAGED_,feature.Yield.managed.B,feature.Yield.managed.B,1
_MANAGED_,feature.Yield.managed.BL,feature.Yield.managed.BL,1
_MANAGED_,feature.Yield.managed.FD,feature.Yield.managed.FD,1
_MANAGED_,feature.Yield.managed.FDI,feature.Yield.managed.FDI,1
_MANAGED_,feature.Yield.managed.PL,feature.Yield.managed.PL,1
_MANAGED_,feature.Yield.managed.PLI,feature.Yield.managed.PLI,1
_MANAGED_,feature.Yield.managed.S,feature.Yield.managed.S,1
_MANAGED_,feature.Yield.managed.SE,feature.Yield.managed.SE,1
_MANAGED_,feature.Yield.managed.SX,feature.Yield.managed.SX,1
_MANAGED_,feature.Yield.managed.Total,feature.Yield.managed.Total,1
_MANAGED_,product.HarvestedVolume.managed.AT.CC,product.HarvestedVolume.managed.AT.CC,1
_MANAGED_,product.HarvestedVolume.managed.B.CC,product.HarvestedVolume.managed.B.CC,1
_MANAGED_,product.HarvestedVolume.managed.BL.CC,product.HarvestedVolume.managed.BL.CC,1
_MANAGED_,product.HarvestedVolume.managed.FD.CC,product.HarvestedVolume.managed.FD.CC,1
_MANAGED_,product.HarvestedVolume.managed.FDI.CC,product.HarvestedVolume.managed.FDI.CC,1
_MANAGED_,product.HarvestedVolume.managed.PL.CC,product.HarvestedVolume.managed.PL.CC,1
_MANAGED_,product.HarvestedVolume.managed.PLI.CC,product.HarvestedVolume.managed.PLI.CC,1
_MANAGED_,product.HarvestedVolume.managed.S.CC,product.HarvestedVolume.managed.S.CC,1
_MANAGED_,product.HarvestedVolume.managed.SE.CC,product.HarvestedVolume.managed.SE.CC,1
_MANAGED_,product.HarvestedVolume.managed.SX.CC,product.HarvestedVolume.managed.SX.CC,1
_MANAGED_,product.HarvestedVolume.managed.Total.CC,product.HarvestedVolume.managed.Total.CC,1
_MANAGED_,product.Seral.area.immature.2901000.CC,product.Seral.area.immature.2901000.CC,1
_MANAGED_,product.Seral.area.immature.2901001.CC,product.Seral.area.immature.2901001.CC,1
_MANAGED_,product.Seral.area.immature.2901002.CC,product.Seral.area.immature.2901002.CC,1
_MANAGED_,product.Seral.area.immature.2901003.CC,product.Seral.area.immature.2901003.CC,1
_MANAGED_,product.Seral.area.immature.2901004.CC,product.Seral.area.immature.2901004.CC,1
_MANAGED_,product.Seral.area.immature.2901005.CC,product.Seral.area.immature.2901005.CC,1
_MANAGED_,product.Seral.area.immature.2901006.CC,product.Seral.area.immature.2901006.CC,1
_MANAGED_,product.Seral.area.immature.2901007.CC,product.Seral.area.immature.2901007.CC,1
_MANAGED_,product.Seral.area.immature.2901008.CC,product.Seral.area.immature.2901008.CC,1
_MANAGED_,product.Seral.area.immature.2901009.CC,product.Seral.area.immature.2901009.CC,1
_MANAGED_,product.Seral.area.immature.2902000.CC,product.Seral.area.immature.2902000.CC,1
_MANAGED_,product.Seral.area.immature.2902001.CC,product.Seral.area.immature.2902001.CC,1
_MANAGED_,product.Seral.area.immature.2902002.CC,product.Seral.area.immature.2902002.CC,1
_MANAGED_,product.Seral.area.immature.2902003.CC,product.Seral.area.immature.2902003.CC,1
_MANAGED_,product.Seral.area.immature.2902004.CC,product.Seral.area.immature.2902004.CC,1
_MANAGED_,product.Seral.area.immature.2902005.CC,product.Seral.area.immature.2902005.CC,1
_MANAGED_,product.Seral.area.immature.2902006.CC,product.Seral.area.immature.2902006.CC,1
_MANAGED_,product.Seral.area.immature.2902007.CC,product.Seral.area.immature.2902007.CC,1
_MANAGED_,product.Seral.area.immature.2902008.CC,product.Seral.area.immature.2902008.CC,1
_MANAGED_,product.Seral.area.immature.2902009.CC,product.Seral.area.immature.2902009.CC,1
_MANAGED_,product.Seral.area.immature.2903000.CC,product.Seral.area.immature.2903000.CC,1
_MANAGED_,product.Seral.area.immature.2903001.CC,product.Seral.area.immature.2903001.CC,1
_MANAGED_,product.Seral.area.immature.2903002.CC,product.Seral.area.immature.2903002.CC,1
_MANAGED_,product.Seral.area.immature.2903003.CC,product.Seral.area.immature.2903003.CC,1
_MANAGED_,product.Seral.area.immature.2903004.CC,product.Seral.area.immature.2903004.CC,1
_MANAGED_,product.Seral.area.immature.2903005.CC,product.Seral.area.immature.2903005.CC,1
_MANAGED_,product.Seral.area.immature.2903006.CC,product.Seral.area.immature.2903006.CC,1
_MANAGED_,product.Seral.area.immature.2903007.CC,product.Seral.area.immature.2903007.CC,1
_MANAGED_,product.Seral.area.immature.2903008.CC,product.Seral.area.immature.2903008.CC,1
_MANAGED_,product.Seral.area.immature.2903009.CC,product.Seral.area.immature.2903009.CC,1
_MANAGED_,product.Seral.area.mature.2901000.CC,product.Seral.area.mature.2901000.CC,1
_MANAGED_,product.Seral.area.mature.2901001.CC,product.Seral.area.mature.2901001.CC,1
_MANAGED_,product.Seral.area.mature.2901002.CC,product.Seral.area.mature.2901002.CC,1
_MANAGED_,product.Seral.area.mature.2901003.CC,product.Seral.area.mature.2901003.CC,1
_MANAGED_,product.Seral.area.mature.2901004.CC,product.Seral.area.mature.2901004.CC,1
_MANAGED_,product.Seral.area.mature.2901005.CC,product.Seral.area.mature.2901005.CC,1
_MANAGED_,product.Seral.area.mature.2901006.CC,product.Seral.area.mature.2901006.CC,1
_MANAGED_,product.Seral.area.mature.2901007.CC,product.Seral.area.mature.2901007.CC,1
_MANAGED_,product.Seral.area.mature.2901008.CC,product.Seral.area.mature.2901008.CC,1
_MANAGED_,product.Seral.area.mature.2901009.CC,product.Seral.area.mature.2901009.CC,1
_MANAGED_,product.Seral.area.mature.2902000.CC,product.Seral.area.mature.2902000.CC,1
_MANAGED_,product.Seral.area.mature.2902001.CC,product.Seral.area.mature.2902001.CC,1
_MANAGED_,product.Seral.area.mature.2902002.CC,product.Seral.area.mature.2902002.CC,1
_MANAGED_,product.Seral.area.mature.2902003.CC,product.Seral.area.mature.2902003.CC,1
_MANAGED_,product.Seral.area.mature.2902004.CC,product.Seral.area.mature.2902004.CC,1
_MANAGED_,product.Seral.area.mature.2902005.CC,product.Seral.area.mature.2902005.CC,1
_MANAGED_,product.Seral.area.mature.2902006.CC,product.Seral.area.mature.2902006.CC,1
_MANAGED_,product.Seral.area.mature.2902007.CC,product.Seral.area.mature.2902007.CC,1
_MANAGED_,product.Seral.area.mature.2902008.CC,product.Seral.area.mature.2902008.CC,1
_MANAGED_,product.Seral.area.mature.2902009.CC,product.Seral.area.mature.2902009.CC,1
_MANAGED_,product.Seral.area.mature.2903000.CC,product.Seral.area.mature.2903000.CC,1
_MANAGED_,product.Seral.area.mature.2903001.CC,product.Seral.area.mature.2903001.CC,1
_MANAGED_,product.Seral.area.mature.2903002.CC,product.Seral.area.mature.2903002.CC,1
_MANAGED_,product.Seral.area.mature.2903003.CC,product.Seral.area.mature.2903003.CC,1
_MANAGED_,product.Seral.area.mature.2903004.CC,product.Seral.area.mature.2903004.CC,1
_MANAGED_,product.Seral.area.mature.2903005.CC,product.Seral.area.mature.2903005.CC,1
_MANAGED_,product.Seral.area.mature.2903006.CC,product.Seral.area.mature.2903006.CC,1
_MANAGED_,product.Seral.area.mature.2903007.CC,product.Seral.area.mature.2903007.CC,1
_MANAGED_,product.Seral.area.mature.2903008.CC,product.Seral.area.mature.2903008.CC,1
_MANAGED_,product.Seral.area.mature.2903009.CC,product.Seral.area.mature.2903009.CC,1
_MANAGED_,product.Seral.area.overmature.2901000.CC,product.Seral.area.overmature.2901000.CC,1
_MANAGED_,product.Seral.area.overmature.2901001.CC,product.Seral.area.overmature.2901001.CC,1
_MANAGED_,product.Seral.area.overmature.2901002.CC,product.Seral.area.overmature.2901002.CC,1
_MANAGED_,product.Seral.area.overmature.2901003.CC,product.Seral.area.overmature.2901003.CC,1
_MANAGED_,product.Seral.area.overmature.2901004.CC,product.Seral.area.overmature.2901004.CC,1
_MANAGED_,product.Seral.area.overmature.2901005.CC,product.Seral.area.overmature.2901005.CC,1
_MANAGED_,product.Seral.area.overmature.2901006.CC,product.Seral.area.overmature.2901006.CC,1
_MANAGED_,product.Seral.area.overmature.2901007.CC,product.Seral.area.overmature.2901007.CC,1
_MANAGED_,product.Seral.area.overmature.2901008.CC,product.Seral.area.overmature.2901008.CC,1
_MANAGED_,product.Seral.area.overmature.2901009.CC,product.Seral.area.overmature.2901009.CC,1
_MANAGED_,product.Seral.area.overmature.2902000.CC,product.Seral.area.overmature.2902000.CC,1
_MANAGED_,product.Seral.area.overmature.2902001.CC,product.Seral.area.overmature.2902001.CC,1
_MANAGED_,product.Seral.area.overmature.2902002.CC,product.Seral.area.overmature.2902002.CC,1
_MANAGED_,product.Seral.area.overmature.2902003.CC,product.Seral.area.overmature.2902003.CC,1
_MANAGED_,product.Seral.area.overmature.2902004.CC,product.Seral.area.overmature.2902004.CC,1
_MANAGED_,product.Seral.area.overmature.2902005.CC,product.Seral.area.overmature.2902005.CC,1
_MANAGED_,product.Seral.area.overmature.2902006.CC,product.Seral.area.overmature.2902006.CC,1
_MANAGED_,product.Seral.area.overmature.2902007.CC,product.Seral.area.overmature.2902007.CC,1
_MANAGED_,product.Seral.area.overmature.2902008.CC,product.Seral.area.overmature.2902008.CC,1
_MANAGED_,product.Seral.area.overmature.2902009.CC,product.Seral.area.overmature.2902009.CC,1
_MANAGED_,product.Seral.area.overmature.2903000.CC,product.Seral.area.overmature.2903000.CC,1
_MANAGED_,product.Seral.area.overmature.2903001.CC,product.Seral.area.overmature.2903001.CC,1
_MANAGED_,product.Seral.area.overmature.2903002.CC,product.Seral.area.overmature.2903002.CC,1
_MANAGED_,product.Seral.area.overmature.2903003.CC,product.Seral.area.overmature.2903003.CC,1
_MANAGED_,product.Seral.area.overmature.2903004.CC,product.Seral.area.overmature.2903004.CC,1
_MANAGED_,product.Seral.area.overmature.2903005.CC,product.Seral.area.overmature.2903005.CC,1
_MANAGED_,product.Seral.area.overmature.2903006.CC,product.Seral.area.overmature.2903006.CC,1
_MANAGED_,product.Seral.area.overmature.2903007.CC,product.Seral.area.overmature.2903007.CC,1
_MANAGED_,product.Seral.area.overmature.2903008.CC,product.Seral.area.overmature.2903008.CC,1
_MANAGED_,product.Seral.area.overmature.2903009.CC,product.Seral.area.overmature.2903009.CC,1
_MANAGED_,product.Seral.area.regenerating.2901000.CC,product.Seral.area.regenerating.2901000.CC,1
_MANAGED_,product.Seral.area.regenerating.2901001.CC,product.Seral.area.regenerating.2901001.CC,1
_MANAGED_,product.Seral.area.regenerating.2901002.CC,product.Seral.area.regenerating.2901002.CC,1
_MANAGED_,product.Seral.area.regenerating.2901003.CC,product.Seral.area.regenerating.2901003.CC,1
_MANAGED_,product.Seral.area.regenerating.2901004.CC,product.Seral.area.regenerating.2901004.CC,1
_MANAGED_,product.Seral.area.regenerating.2901005.CC,product.Seral.area.regenerating.2901005.CC,1
_MANAGED_,product.Seral.area.regenerating.2901006.CC,product.Seral.area.regenerating.2901006.CC,1
_MANAGED_,product.Seral.area.regenerating.2901007.CC,product.Seral.area.regenerating.2901007.CC,1
_MANAGED_,product.Seral.area.regenerating.2901008.CC,product.Seral.area.regenerating.2901008.CC,1
_MANAGED_,product.Seral.area.regenerating.2901009.CC,product.Seral.area.regenerating.2901009.CC,1
_MANAGED_,product.Seral.area.regenerating.2902000.CC,product.Seral.area.regenerating.2902000.CC,1
_MANAGED_,product.Seral.area.regenerating.2902001.CC,product.Seral.area.regenerating.2902001.CC,1
_MANAGED_,product.Seral.area.regenerating.2902002.CC,product.Seral.area.regenerating.2902002.CC,1
_MANAGED_,product.Seral.area.regenerating.2902003.CC,product.Seral.area.regenerating.2902003.CC,1
_MANAGED_,product.Seral.area.regenerating.2902004.CC,product.Seral.area.regenerating.2902004.CC,1
_MANAGED_,product.Seral.area.regenerating.2902005.CC,product.Seral.area.regenerating.2902005.CC,1
_MANAGED_,product.Seral.area.regenerating.2902006.CC,product.Seral.area.regenerating.2902006.CC,1
_MANAGED_,product.Seral.area.regenerating.2902007.CC,product.Seral.area.regenerating.2902007.CC,1
_MANAGED_,product.Seral.area.regenerating.2902008.CC,product.Seral.area.regenerating.2902008.CC,1
_MANAGED_,product.Seral.area.regenerating.2902009.CC,product.Seral.area.regenerating.2902009.CC,1
_MANAGED_,product.Seral.area.regenerating.2903000.CC,product.Seral.area.regenerating.2903000.CC,1
_MANAGED_,product.Seral.area.regenerating.2903001.CC,product.Seral.area.regenerating.2903001.CC,1
_MANAGED_,product.Seral.area.regenerating.2903002.CC,product.Seral.area.regenerating.2903002.CC,1
_MANAGED_,product.Seral.area.regenerating.2903003.CC,product.Seral.area.regenerating.2903003.CC,1
_MANAGED_,product.Seral.area.regenerating.2903004.CC,product.Seral.area.regenerating.2903004.CC,1
_MANAGED_,product.Seral.area.regenerating.2903005.CC,product.Seral.area.regenerating.2903005.CC,1
_MANAGED_,product.Seral.area.regenerating.2903006.CC,product.Seral.area.regenerating.2903006.CC,1
_MANAGED_,product.Seral.area.regenerating.2903007.CC,product.Seral.area.regenerating.2903007.CC,1
_MANAGED_,product.Seral.area.regenerating.2903008.CC,product.Seral.area.regenerating.2903008.CC,1
_MANAGED_,product.Seral.area.regenerating.2903009.CC,product.Seral.area.regenerating.2903009.CC,1
_MANAGED_,product.Seral.area.young.2901000.CC,product.Seral.area.young.2901000.CC,1
_MANAGED_,product.Seral.area.young.2901001.CC,product.Seral.area.young.2901001.CC,1
_MANAGED_,product.Seral.area.young.2901002.CC,product.Seral.area.young.2901002.CC,1
_MANAGED_,product.Seral.area.young.2901003.CC,product.Seral.area.young.2901003.CC,1
_MANAGED_,product.Seral.area.young.2901004.CC,product.Seral.area.young.2901004.CC,1
_MANAGED_,product.Seral.area.young.2901005.CC,product.Seral.area.young.2901005.CC,1
_MANAGED_,product.Seral.area.young.2901006.CC,product.Seral.area.young.2901006.CC,1
_MANAGED_,product.Seral.area.young.2901007.CC,product.Seral.area.young.2901007.CC,1
_MANAGED_,product.Seral.area.young.2901008.CC,product.Seral.area.young.2901008.CC,1
_MANAGED_,product.Seral.area.young.2901009.CC,product.Seral.area.young.2901009.CC,1
_MANAGED_,product.Seral.area.young.2902000.CC,product.Seral.area.young.2902000.CC,1
_MANAGED_,product.Seral.area.young.2902001.CC,product.Seral.area.young.2902001.CC,1
_MANAGED_,product.Seral.area.young.2902002.CC,product.Seral.area.young.2902002.CC,1
_MANAGED_,product.Seral.area.young.2902003.CC,product.Seral.area.young.2902003.CC,1
_MANAGED_,product.Seral.area.young.2902004.CC,product.Seral.area.young.2902004.CC,1
_MANAGED_,product.Seral.area.young.2902005.CC,product.Seral.area.young.2902005.CC,1
_MANAGED_,product.Seral.area.young.2902006.CC,product.Seral.area.young.2902006.CC,1
_MANAGED_,product.Seral.area.young.2902007.CC,product.Seral.area.young.2902007.CC,1
_MANAGED_,product.Seral.area.young.2902008.CC,product.Seral.area.young.2902008.CC,1
