tsa,au_id,action_id,from_ifm,to_ifm,next_au_id
29,2901000,CC,managed,managed,2901000
29,2901001,CC,managed,managed,2901001
29,2901002,CC,managed,managed,2901002
29,2901003,CC,managed,managed,2901003
29,2901004,CC,managed,managed,2901004
29,2901005,CC,managed,managed,2901005
29,2901006,CC,managed,managed,2901006
29,2901007,CC,managed,managed,2901007
29,2901008,CC,managed,managed,2901008
29,2901009,CC,managed,managed,2901009
29,2901010,CC,managed,managed,2901010
29,2901011,CC,managed,managed,2901011
29,2901012,CC,managed,managed,2901012
29,2901013,CC,managed,managed,2901013
29,2901014,CC,managed,managed,2901014
29,2901015,CC,managed,managed,2901015
29,2901016,CC,managed,managed,2901016
29,2901017,CC,managed,managed,2901017
29,2902000,CC,managed,managed,2902000
29,2902001,CC,managed,managed,2902001
29,2902002,CC,managed,managed,2902002
29,2902003,CC,managed,managed,2902003
29,2902004,CC,managed,managed,2902004
29,2902005,CC,managed,managed,2902005
29,2902006,CC,managed,managed,2902006
29,2902007,CC,managed,managed,2902007
29,2902008,CC,managed,managed,2902008
29,2902009,CC,managed,managed,2902009
29,2902010,CC,managed,managed,2902010
29,2902011,CC,managed,managed,2902011
29,2902012,CC,managed,managed,2902012
29,2902013,CC,managed,managed,2902013
29,2902014,CC,managed,managed,2902014
29,2902015,CC,managed,managed,2902015
29,2902016,CC,managed,managed,2902016
29,2902017,CC,managed,managed,2902017
29,2903000,CC,managed,managed,2903000
29,2903001,CC,managed,managed,2903001
29,2903002,CC,managed,managed,2903002
29,2903003,CC,managed,managed,2903003
29,2903004,CC,managed,managed,2903004
29,2903005,CC,managed,managed,2903005
29,2903006,CC,managed,managed,2903006
29,2903007,CC,managed,managed,2903007
29,2903008,CC,managed,managed,2903008
29,2903009,CC,managed,managed,2903009
29,2903010,CC,managed,managed,2903010
29,2903011,CC,managed,managed,2903011
29,2903012,CC,managed,managed,2903012
29,2903013,CC,managed,managed,2903013
29,2903014,CC,managed,managed,2903014
29,2903015,CC,managed,managed,2903015
29,2903016,CC,managed,managed,2903016
29,2903017,CC,managed,managed,2903017
